Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-11-01 17:47:06,2023-11-01 17:47:07,0.411s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:47:07,2023-11-01 17:47:10,2.822s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-11-01 17:47:10,2023-11-01 17:47:50,40.016s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-11-01 17:47:50,2023-11-01 17:48:21,31.491s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-11-01 17:48:21,2023-11-01 17:48:26,5.039s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-11-01 17:48:26,2023-11-01 17:48:28,1.725s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:48:28,2023-11-01 17:48:28,0.345s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-11-01 17:48:28,2023-11-01 17:48:29,0.394s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-11-01 17:48:29,2023-11-01 17:48:41,12.017s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:48:41,2023-11-01 17:48:59,18.125s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-11-01 17:48:59,2023-11-01 17:48:59,0.389s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:48:59,2023-11-01 17:49:29,30.118s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:49:29,2023-11-01 17:49:30,0.671s,PASSED
